,mean,std,model,emb-type,stand-type,E-type,min,max,ec-type
21,0.246541414439687,0.0054024223709018,Decision Tree,labse,Lemm.,Test,0.2411389920687852,0.2519438368105888,labse Lemm. Decision Tree
22,0.4717733724152103,0.0053867129634974,SVM,labse,Lemm.,Train,0.46638665945171287,0.4771600853787077,labse Lemm. SVM
23,0.4320227373394359,0.0091758434814485,SVM,labse,Lemm.,Test,0.4228468938579874,0.4411985808208844,labse Lemm. SVM
24,0.3449956369243659,0.0126674288775882,Random Forest,labse,Lemm.,Train,0.3323282080467777,0.3576630658019541,labse Lemm. Random Forest
25,0.2156608298189636,0.0132858351924124,Random Forest,labse,Lemm.,Test,0.2023749946265512,0.22894666501137598,labse Lemm. Random Forest
26,0.3275574352780736,0.0320444236763505,XGBoost,labse,Lemm.,Train,0.2955130116017231,0.35960185895442415,labse Lemm. XGBoost
27,0.2094658443184118,0.0199799288583408,XGBoost,labse,Lemm.,Test,0.189485915460071,0.2294457731767526,labse Lemm. XGBoost
28,0.5602908749469012,0.009144637853799,k-means,labse,Norm.,Train,0.5511462370931022,0.5694355128007003,labse Norm. k-means
29,0.4573667503322013,0.0143338948407942,k-means,labse,Norm.,Test,0.4430328554914071,0.47170064517299554,labse Norm. k-means
30,0.7815857370192666,0.0065706454316423,Naïve Bayes,labse,Norm.,Train,0.7750150915876243,0.7881563824509089,labse Norm. Naïve Bayes
31,0.4827026428465967,0.0253129937833034,Naïve Bayes,labse,Norm.,Test,0.45738964906329327,0.5080156366299001,labse Norm. Naïve Bayes
32,0.8638629320806492,0.0048162356855675,KNN,labse,Norm.,Train,0.8590466963950817,0.8686791677662168,labse Norm. KNN
33,0.6075210394212314,0.0263107104950599,KNN,labse,Norm.,Test,0.5812103289261714,0.6338317499162913,labse Norm. KNN
34,0.4354847716133621,0.0072595095194618,Decision Tree,labse,Norm.,Train,0.42822526209390027,0.4427442811328239,labse Norm. Decision Tree
35,0.251143510999557,0.0133928883910265,Decision Tree,labse,Norm.,Test,0.2377506226085305,0.2645363993905835,labse Norm. Decision Tree
36,0.4738842821377332,0.0145339258804258,SVM,labse,Norm.,Train,0.4593503562573074,0.488418208018159,labse Norm. SVM
37,0.431641074856046,0.0077593767353584,SVM,labse,Norm.,Test,0.4238816981206876,0.43940045159140445,labse Norm. SVM
38,0.3438018744735563,0.0094883727867008,Random Forest,labse,Norm.,Train,0.33431350168685553,0.3532902472602571,labse Norm. Random Forest
39,0.2156642515176659,0.006498979429837,Random Forest,labse,Norm.,Test,0.20916527208782892,0.2221632309475029,labse Norm. Random Forest
40,0.3327520890620055,0.0304078685858167,XGBoost,labse,Norm.,Train,0.3023442204761888,0.36315995764782216,labse Norm. XGBoost
41,0.2128091290921378,0.0171014156324385,XGBoost,labse,Norm.,Test,0.1957077134596993,0.2299105447245763,labse Norm. XGBoost
42,0.6073348088861203,0.0075934343596754,k-means,word2vec,Norm.,Train,0.5997413745264449,0.6149282432457958,AC-PLT
43,0.514977853240809,0.0100778457746695,k-means,word2vec,Norm.,Test,0.5049000074661395,0.5250556990154785,AC-PLT
44,0.9070653761415648,0.005124531415274,Naïve Bayes,word2vec,Norm.,Train,0.9019408447262908,0.9121899075568388,word2vec Norm. Naïve Bayes
45,0.6324811752546877,0.014175962084289,Naïve Bayes,word2vec,Norm.,Test,0.6183052131703988,0.6466571373389767,word2vec Norm. Naïve Bayes
46,0.870200084220769,0.0060073385260721,KNN,word2vec,Norm.,Train,0.864192745694697,0.876207422746841,word2vec Norm. KNN
47,0.6082843643880111,0.017293209396379,KNN,word2vec,Norm.,Test,0.5909911549916321,0.6255775737843902,word2vec Norm. KNN
48,0.5688357354067246,0.0105245074533581,Decision Tree,word2vec,Norm.,Train,0.5583112279533665,0.5793602428600827,word2vec Norm. Decision Tree
49,0.2945474678871992,0.0096971940955081,Decision Tree,word2vec,Norm.,Test,0.2848502737916911,0.30424466198270733,word2vec Norm. Decision Tree
50,0.4468121425339763,0.0077877627320695,SVM,word2vec,Norm.,Train,0.4390243798019068,0.45459990526604577,word2vec Norm. SVM
51,0.4059094935774398,0.0177639789140885,SVM,word2vec,Norm.,Test,0.3881455146633513,0.42367347249152826,word2vec Norm. SVM
52,0.3025429377448381,0.0052550177448504,Random Forest,word2vec,Norm.,Train,0.2972879199999877,0.30779795548968847,word2vec Norm. Random Forest
53,0.1936883916020108,0.0123409791089579,Random Forest,word2vec,Norm.,Test,0.1813474124930529,0.2060293707109687,word2vec Norm. Random Forest
54,0.3417072238092903,0.0378697073931477,XGBoost,word2vec,Norm.,Train,0.3038375164161426,0.379576931202438,word2vec Norm. XGBoost
55,0.2218829037675754,0.0118357921918504,XGBoost,word2vec,Norm.,Test,0.210047111575725,0.23371869595942582,word2vec Norm. XGBoost
